start, end, subpop
1617418.0, 1620545.0, 0.5195
1620545.0, 1623232.0, 0.4975
1623232.0, 1624906.0, 0.507
1624906.0, 1626561.0, 0.507
1626561.0, 1628169.0, 0.507
1628169.0, 1628834.0, 0.5055
1628834.0, 1628946.0, 0.5055
1628946.0, 1630856.0, 0.5055
1630856.0, 1634386.0, 0.5055
1634386.0, 1635699.0, 0.5125
1635699.0, 1644096.0, 0.5125
1644096.0, 1658190.0, 0.5125
1658190.0, 1658662.0, 0.52
1658662.0, 1659639.0, 0.52
1659639.0, 1664728.0, 0.52
1664728.0, 1668606.0, 0.52
1668606.0, 1674239.0, 0.52
1674239.0, 1683581.0, 0.523
1683581.0, 1697109.0, 0.523
1697109.0, 1697840.0, 0.523
1697840.0, 1701822.0, 0.5265
1701822.0, 1709453.0, 0.5265
1709453.0, 1710364.0, 0.4385
1710364.0, 1711050.0, 0.384
1711050.0, 1712381.0, 0.381
1712381.0, 1719697.0, 0.3265
1719697.0, 1721318.0, 0.3235
1721318.0, 1723901.0, 0.3365
1723901.0, 1726310.0, 0.3365
1726310.0, 1728504.0, 0.3365
1728504.0, 1729793.0, 0.327
1729793.0, 1755236.0, 0.3275
1755236.0, 1765531.0, 0.3275
1765531.0, 1771853.0, 0.327
1771853.0, 1777142.0, 0.314
1777142.0, 1784310.0, 0.314
1784310.0, 1785584.0, 0.3155
1785584.0, 1796444.0, 0.3155
1796444.0, 1797543.0, 0.2975
1797543.0, 1798278.0, 0.2975
1798278.0, 1799712.0, 0.2975
1799712.0, 1813802.0, 0.2975
1813802.0, 1822584.0, 0.2975
1822584.0, 1836358.0, 0.247
1836358.0, 1844113.0, 0.247
1844113.0, 1857755.0, 0.247
1857755.0, 1860230.0, 0.247
1860230.0, 1861189.0, 0.2505
1861189.0, 1862320.0, 0.2505
1862320.0, 1862891.0, 0.264
1862891.0, 1865013.0, 0.2605
1865013.0, 1865984.0, 0.2605
1865984.0, 1867099.0, 0.2605
1867099.0, 1870391.0, 0.2605
1870391.0, 1870909.0, 0.2605
1870909.0, 1879454.0, 0.256
1879454.0, 1887347.0, 0.256
1887347.0, 1897543.0, 0.256
1897543.0, 1919120.0, 0.256
1919120.0, 1927422.0, 0.256
1927422.0, 1953479.0, 0.256
1953479.0, 1958283.0, 0.228
1958283.0, 1963428.0, 0.228
1963428.0, 1974351.0, 0.237
1974351.0, 2003891.0, 0.237
2003891.0, 2014573.0, 0.237
2014573.0, 2021254.0, 0.235
2021254.0, 2021778.0, 0.235
2021778.0, 2022298.0, 0.235
2022298.0, 2026027.0, 0.235
2026027.0, 2040390.0, 0.235
2040390.0, 2042296.0, 0.239
2042296.0, 2045126.0, 0.2445
2045126.0, 2053269.0, 0.2445
2053269.0, 2067280.0, 0.2445
2067280.0, 2069103.0, 0.2445
