start,heights
888751.0,171.0
897191.0,171.0
909616.0,171.0
911848.0,171.0
914668.0,171.0
921709.0,171.0
925856.0,171.0
928117.0,171.0
928202.0,171.0
929985.0,171.0
930726.0,171.0
931889.0,171.0
933984.0,171.0
941432.0,171.0
942905.0,171.0
945718.0,171.0
946033.0,171.0
949762.0,171.0
952350.0,171.0
958561.0,171.0
961583.0,171.0
966885.0,171.0
969646.0,171.0
970103.0,171.0
977905.0,171.0
978753.0,171.0
984399.0,171.0
987619.0,171.0
987711.0,171.0
990918.0,171.0
992742.0,171.0
996595.0,171.0
996764.0,171.0
1000000.0,171.0
