start,heights
224039.0,319779.3402613992
224113.0,319779.3402613992
225728.0,319779.3402613992
226724.0,319779.3402613992
227879.0,319779.3402613992
228112.0,319779.3402613992
228882.0,319779.3402613992
233222.0,319779.3402613992
234777.0,319779.3402613992
236260.0,319779.3402613992
237171.0,319779.3402613992
241281.0,342926.90171674144
244091.0,342926.90171674144
245448.0,307444.92269131413
245563.0,307444.92269131413
251133.0,307444.92269131413
254989.0,307444.92269131413
258819.0,307444.92269131413
261604.0,307444.92269131413
263048.0,307444.92269131413
265118.0,151362.24224841452
265731.0,151362.24224841452
266282.0,151362.24224841452
268040.0,151362.24224841452
271415.0,342926.90171674144
272087.0,342926.90171674144
272729.0,566944.4916665145
273249.0,566944.4916665145
273490.0,566944.4916665145
276293.0,566944.4916665145
276448.0,566944.4916665145
276671.0,566944.4916665145
277168.0,566944.4916665145
277267.0,566944.4916665145
277802.0,566944.4916665145
277862.0,107599.3461976547
278924.0,107599.3461976547
279335.0,107599.3461976547
279446.0,107599.3461976547
280748.0,107599.3461976547
283207.0,107599.3461976547
284978.0,107599.3461976547
286027.0,107599.3461976547
286891.0,107599.3461976547
288911.0,107599.3461976547
289919.0,107599.3461976547
289995.0,107599.3461976547
293122.0,107599.3461976547
293605.0,107599.3461976547
293840.0,107599.3461976547
296023.0,107599.3461976547
296880.0,107599.3461976547
299573.0,107599.3461976547
300316.0,107599.3461976547
301570.0,107599.3461976547
303842.0,107599.3461976547
303883.0,107599.3461976547
304206.0,107599.3461976547
307066.0,107599.3461976547
308021.0,107599.3461976547
308202.0,107599.3461976547
308249.0,107599.3461976547
311460.0,107599.3461976547
312057.0,126960.3098497701
312303.0,126960.3098497701
313863.0,176487.0957146183
317089.0,176487.0957146183
318746.0,176487.0957146183
319791.0,176487.0957146183
322355.0,176487.0957146183
322573.0,176487.0957146183
323884.0,176487.0957146183
324288.0,1023696.3250024868
324538.0,1023696.3250024868
328141.0,1023696.3250024868
335793.0,1023696.3250024868
336512.0,1023696.3250024868
340029.0,1023696.3250024868
342763.0,1023696.3250024868
348219.0,976713.6029140523
350359.0,976713.6029140523
350916.0,976713.6029140523
351510.0,976713.6029140523
352029.0,1044009.6537814481
352505.0,1044009.6537814481
352978.0,1044009.6537814481
355295.0,904592.6745225971
355822.0,904592.6745225971
356111.0,976713.6029140523
357139.0,232802.945372151
361654.0,232802.945372151
362318.0,151362.24224841452
365454.0,151362.24224841452
366156.0,151362.24224841452
366360.0,151362.24224841452
367959.0,151362.24224841452
373300.0,151362.24224841452
375596.0,151362.24224841452
376461.0,151362.24224841452
379290.0,151362.24224841452
380888.0,151362.24224841452
383048.0,151362.24224841452
